species,genus,species,full_name,native_status,comments,form,
SACR,Sanicula,crassicaulis,Sanicula crassicaulis,native,,herb,
SADO,Satureja,douglasii,Satureja douglasii,native,,herb,
SADO,Satureja,douglasii,Satureja douglasii,native,,herb,
SALU,Salix,lucida,Salix lucida,native,,shrub,
SANIG,Sambucus,nigra var. cerulea,Sambucus nigra,native,,shrub,
SASC,Salix,scouleriana,Salix scouleriana,native,,shrub,
SIAS,Sidalcea,asprella,Sidalcea asprella,native,,herb,
SICA,Silene,campanulata ssp. glandulosa,Siilene campanulata,native,check specimen COMPARE S. VULGARIS,herb,
SIDX,Sidalcea,sp.,Sidalcea sp.,native,check,herb,
SIGL,Sidalcea,glaucescens,Sidalcea glaucescens,native,,herb,
SILX,Silene,sp,Silene sp,native,SPECIES ID UNKNOWN; 2019 SPEC LIKE S. VERECUNDA,herb,
SIMA,Silene,marmorensis,Silene marmorensis,native,,herb,
SIMO,Silene,marmorensis,Silene marmorensis,native,,herb,
SOPA,Solanum,parishii,Solanum parishii,native,,herb,
SOXX,Solidago,sp.,Solidago sp.,native,uncertain,herb,
STST,Stipa,stillmanii,Stipa lemmonii,native,"At least some may have been S. lemmonii, as originally recorded, but no specimens confirmed",grass,
STME,Stachys,mexicana,Stachys mexicana,native,,herb,
STRI,Stachys,rigida var. rigida,Stachys rigida var. rigida,native,,herb,
STXX,Stephanomeria,sp.,Stephanomeria sp.,native,"called ""LIGULIFLOROUS""; prob S elata or S virgata",herb,
SYAL,Symphoricarpos,albus,Symphoricarpos albus,native,,shrub,
SYMO,Symphoricarpos,mollis,Symphoricarpos mollis,native,,shrub,
TABR,Taxus,brevifolia,Taxus brevifolia,native,,tree,
TOAR,Torilis,arvensis,Torilis arvensis,non_native,,herb,
TODI,Toxicodendron,diversilobum,Toxicodendron diversilobum,native,,shrub,
TRCA,Trisetum,canescens,Trisetum canescens,native,,grass,
TRCR,Triteleia,crocea,Triteleia crocea,native,,herb,
TRDU,Tragopogon,dubius,Tragopogon dubius,non_native,,herb,
TRER,Trifolium,eriocephalum,Trifolium eriocephalum,native,,herb,
TRGR,Trifolium,gracilentum,Trifolium gracilentum,native,,herb,
TRMI,Trifolium,microcephalum,Trifolium microcephalum,native,,herb,
TRPE,Triteleia,peduncularis,Triteleia peduncularis,native,,herb,
TRPO,Tragopogon,porrifolius,Tragopogon porrifolius,non_native,,herb,
TRTO,Trifolium,tomentosum,Trifolium tomentosum,,check specimen from 201,herb,
TRXX,Trifolium,sp.,Trifolium sp.,native,,herb,
UMCA,Umbellularia,californica,Umbellularia californica,native,,tree,
VAHE,Vancouveria,hexandra,Vancouveria hexandra,native,,herb,
VAPA,Vaccinium,parviflorum,Vaccinium parviflorum,native,,shrub,
VETH,Verbascum,thlaspi,Verbascum thlaspi,non_native,,herb,
VIAM,Vicia,americana,Vicia americana,native,ID uncertain,herb,
VICA,Vitis,californica,Vitis californica,native,,shrub,
VILO,Viola,lobata,Viola lobata,native,"not differentiating between ssp. lobata and ssp. integrifolia, but both were encountered.",herb,
VITE,Vicia,tetrasperma,Vicia tetrasperma,non_native,,herb,
WHMO,Whipplea,modesta,Whipplea modesta,native,,herb,
WOFI,Woodwardia,fimbriata,Woodwardia fimbriata,native,,herb,
WYMO,Wyethia,mollis,Wyethia mollis,native,,herb,
XETE,Xerophyllum,tenax,Xerophyllum tenax,native,,herb,
YAMI,Yabea,microcarpa,Yabea microcarpa,native,,herb,
SONX,Sonchus,sp.,Sonchus sp.,non_native,,herb,
BRLA,Bromus,laevipes,Bromus laevipes,native,sheath mostly glabrous,grass,
BROR,Bromus,orcuttianus,Bromus orcuttianus,native,"""fuzzy leaved brome""",grass,
,,, ,,,,
,,, ,,,,
,,, ,,,,
