rdata$group,AR,BE,XX,CM,DL,geom,,,UN,LS1,LS2,HS1,HS2
190,0.095801965,0.076293384,0,0.626209805,0.201694913,0.004394189,,,,,,,
191,0.013432195,0.037991528,0,0.732703556,0.215872771,0.00449592,,,,,,,
192,0.035637227,0,0,0.857042596,0.107320193,0.004413005,,,,,,,
193,0.03563895,0,0.115793868,0.667541553,0.181026444,0.0043599,,,,,,,
194,0.087944832,0,0.072854111,0.542386203,0.296817583,0.00432811,,,,,,,
195,0,0,0,0.765125575,0.234874456,0.00456034,,,,,,,
196,0.100428518,0.035982359,0,0.709219658,0.154369473,0.0042782,,,,,,,
197,0.03407292,0,0,0.804782139,0.161145015,0.004589242,,,,,,,
198,0.067091155,0.042805567,0.022188527,0.672796432,0.195118354,0.004319014,,,,,,,
199,0.066216475,0,0,0.692714864,0.241068676,0.004312868,,,,,,,
200,0.045895001,0,0,0.700737909,0.253367291,0.004429117,,,,,,,
201,0.062493827,0,0,0.793498031,0.144008184,0.004405967,,,,,,,
202,0.081083019,0,0.04419851,0.58699077,0.287727721,0.004331338,,,,,,,
203,0,0.121560781,0,0.617595623,0.260843639,0.004337433,,,,,,,
204,0,0,0,0.830049155,0.169951038,0.004483103,,,,,,,
205,0.021014498,0.170334644,0,0.468786406,0.339864519,0.004289279,,,,,,,
206,0.251669713,0,0,0.572912535,0.175418949,0.004240847,,,,,,,
207,0.042510821,0.082358225,0.060446984,0.454429365,0.360254615,0.004189067,,,,,,,
208,0.108841582,0,0,0.733203901,0.157954582,0.004574542,,,,,,,
209,0.067413824,0,0,0.798271063,0.13431513,0.004456654,,,,,,,
210,0.057820194,0,0,0.666821084,0.275358758,0.004319139,,,,,,,
211,0.030782104,0.077319261,0,0.516629806,0.375268825,0.004303788,,,,,,,
212,0,0,0.074555965,0.738340443,0.1871036,0.004404029,,,,,,,
213,0.076999623,0,0.016302241,0.604449696,0.302248432,0.004334748,,,,,,,
214,0,0,0.163705353,0.519109779,0.317184922,0.004412278,,,,,,,
215,0.076140255,0,0,0.6689351,0.25492472,0.004480542,,,,,,,
216,0.00428687,0,0.172309512,0.743342309,0.080061348,0.004406681,,,,,,,
217,0.034134541,0,0.069755014,0.678668388,0.217444806,0.004194636,,,,,,,
218,0.018275228,0,0,0.764954614,0.21677021,0.004500036,,,,,,,
219,0,0.147354958,0,0.625934119,0.226710964,0.004443601,,,,,,,
220,0,0.136868148,0,0.756001559,0.107132997,0.004396955,,,,,,,
221,0,0,0.103173864,0.799943001,0.096883146,0.004430473,,,,,,,
222,0.054761941,0.168444928,0,0.55306524,0.223727929,0.004213214,,,,,,,
223,0.069376023,0,0,0.740671669,0.189952357,0.004455066,,,,,,,
224,0,0,0.179597327,0.717129457,0.103273251,0.004361274,,,,,,,
225,0.116808853,0,0,0.542120571,0.341073301,0.004362455,,,,,,,
226,0,0.074465036,0,0.646711789,0.278823212,0.004460695,,,,,,,
227,0.035809739,0,0.135367453,0.555765188,0.273060316,0.004108504,,,,,,,
228,0.086489194,0,0,0.659590616,0.25392025,0.004460255,,,,,,,
229,0,0,0,0.839834401,0.160165653,0.004493344,,,,,,,
230,0,0.116140833,0,0.654485139,0.229374098,0.004352196,,,,,,,
231,0.033819972,0.030780416,0,0.52866488,0.406737495,0.004339154,,,,,,,
232,0.101321865,0,0,0.786035041,0.112643152,0.004537445,,,,,,,
233,0.197928576,0,0,0.763337298,0.038734174,0.004410974,,,,,,,
234,0.2251453,0,0,0.659895765,0.114958975,0.004370675,,,,,,,
235,0.127567209,0,0,0.808729922,0.063702872,0.004367651,,,,,,,
236,0.04514517,0.104388551,0,0.653803348,0.196663003,0.004192847,,,,,,,
237,0.098164696,0,0.058367473,0.658206351,0.18526155,0.004311243,,,,,,,
238,0.157659895,0.029581095,0,0.546218998,0.266540063,0.00430228,,,,,,,
239,0.13967751,0,0,0.837885124,0.022437413,0.004429744,,,,,,,
240,0,0,0.046564443,0.598335381,0.355102913,0.004372927,,,,,,,
241,0.112007798,0,0,0.756876252,0.131118681,0.004476305,,,,,,,
242,0.030166828,0,0,0.715422152,0.254411068,0.004282728,,,,,,,
243,0.059726708,0,0,0.664622672,0.27565065,0.004415439,,,,,,,
244,0.185872229,0,0,0.630833589,0.183296902,0.00439225,,,,,,,
245,0.050622077,0,0,0.72355404,0.225823943,0.00441519,,,,,,,
246,0.014999309,0,0.081172837,0.659952511,0.243875419,0.004376185,,,,,,,
247,0.051921638,0,0,0.668164219,0.279914129,0.00442422,,,,,,,
248,0.040813033,0.028191507,0,0.669926921,0.261071244,0.004485648,,,,,,,
249,0,0.019480451,0,0.646726887,0.333792762,0.004385718,,,,,,,
250,0.035146712,0.135509338,0,0.589135661,0.240208313,0.004251594,,,,,,,
251,0.118723676,0,0.089372717,0.583387257,0.208516384,0.004291305,,,,,,,
252,0,0.123452348,0,0.438912844,0.437637536,0.004443717,,,,,,,
253,0,0,0.152404194,0.738947081,0.108648735,0.00440202,,,,,,,
254,0.008650398,0,0,0.906014582,0.085337763,0.004560044,,,,,,,
255,0,0,0,0.818626743,0.181373337,0.004365141,,,,,,,
256,0,0,0.131628206,0.683691248,0.184681344,0.00435212,,,,,,,
257,0.056735246,0,0.11894949,0.487435924,0.336879385,0.004274142,,,,,,,
258,0.099217152,0.07612224,0,0.582179653,0.242481006,0.004330949,,,,,,,
259,0.027359537,0,0,0.767192384,0.205449504,0.00453107,,,,,,,
260,0,0,0,0.698910653,0.301089377,0.004459732,,,,,,,
261,0.015812039,0,0.089516675,0.682445705,0.212225598,0.004267228,,,,,,,
262,0.00460639,0,0.005782388,0.809452778,0.180161176,0.004293605,,,,,,,
263,0,0,0,0.875489658,0.124512825,0.004569771,,,,,,,
264,0.138799266,0,0.103409955,0.629893491,0.127897342,0.004269581,,,,,,,
265,0.166525785,0,0.146277612,0.570452604,0.116744043,0.004117343,,,,,,,
266,0.095969811,0,0.054132968,0.60049976,0.249397492,0.004444006,,,,,,,
267,0,0,0.2116216,0.378177961,0.410200764,0.004210312,,,,,,,
268,0.04380943,0,0,0.543892725,0.412297833,0.004270905,,,,,,,
269,0.145593357,0,0.079646005,0.504696433,0.270064224,0.004327492,,,,,,,
270,0,0,0,0.889066682,0.110933668,0.00446704,,,,,,,
271,0.162789749,0.120573888,0,0.664034695,0.05260437,0.004371549,,,,,,,
272,0.102624951,0,0.07492423,0.541077407,0.281376142,0.004278292,,,,,,,
273,0,0,0,0.604021117,0.395978891,0.004409699,,,,,,,
274,0.037266742,0,0,0.761302756,0.201430575,0.004528756,,,,,,,
275,0,0,0,0.724364947,0.275635106,0.004437959,,,,,,,
276,0.015341347,0,0,0.713411469,0.27124725,0.004542633,,,,,,,
277,0.099267039,0.098951946,0.024750825,0.710631371,0.066401508,0.004346004,,,,,,,
278,0,0.069600591,0,0.544468958,0.385932929,0.004412834,,,,,,,
279,0.046721963,0.077389803,0,0.619581992,0.256306331,0.004333206,,,,,,,
280,0,0,0.132739806,0.719508088,0.147754845,0.00444607,,,,,,,
281,0.107386282,0.138469251,0,0.516893148,0.237251333,0.004248942,,,,,,,
282,0,0,0.125709256,0.580900461,0.29339031,0.004303778,,,,,,,
283,0.134283548,0,0,0.761136153,0.104580288,0.004474369,,,,,,,
284,0.050743752,0,0,0.649160198,0.300096069,0.004308865,,,,,,,
285,0.091734461,0,0,0.663048624,0.245216967,0.004546327,,,,,,,
286,0.127590701,0,0,0.792177399,0.080234227,0.004471816,,,,,,,
287,0.133678244,0,0,0.565621308,0.300700476,0.004387448,,,,,,,
288,0.157222837,0,0,0.538833394,0.303946472,0.004476458,,,,,,,
289,0,0,0,0.788010799,0.211989911,0.004481869,,,,,,,
290,0.062275867,0.022363995,0,0.778324163,0.137036063,0.00444214,,,,,,,
291,0.08414512,0,0,0.792532723,0.12332231,0.004395671,,,,,,,
292,0,0.065459846,0,0.556668067,0.377872134,0.004244745,,,,,,,
293,0.038764421,0.049883392,0,0.685858594,0.2254936,0.004432619,,,,,,,
294,0.038074794,0,0,0.695868153,0.266057104,0.004370759,,,,,,,
295,0.03741035,0,0,0.584031231,0.378558438,0.004389258,,,,,,,
296,0.066353603,0,0,0.556955944,0.376690445,0.004433625,,,,,,,
297,0.081213207,0,0.080997125,0.599480418,0.238309293,0.004242403,,,,,,,
298,0.157508636,0,0.084363211,0.524428071,0.23370013,0.004193827,,,,,,,
299,0.035238426,0.102920162,0,0.561737863,0.300106271,0.004359295,,,,,,,
300,0.073515243,0,0,0.712615328,0.213872151,0.004478075,,,,,,,
301,0.030660429,0,0,0.832267859,0.137074412,0.004505977,,,,,,,
302,0.130521525,0,0,0.756913708,0.112564765,0.004421137,,,,,,,
303,0.053442091,0,0,0.609181143,0.337376806,0.004344033,,,,,,,
304,0.032576036,0,0,0.737831245,0.229592762,0.004451975,,,,,,,
305,0,0.003200551,0,0.856707417,0.140092079,0.004426388,,,,,,,
306,0.054483033,0,0.131856784,0.658938392,0.15472187,0.0042337,,,,,,,
307,0.109960902,0,0,0.804518382,0.08552075,0.004418264,,,,,,,
308,0.184720477,0.084663982,0,0.533824,0.196794244,0.004248492,,,,,,,
309,0.006352522,0.089496041,0,0.644373603,0.259777826,0.004364142,,,,,,,
310,0.091299978,0,0,0.661634187,0.247065895,0.004319004,,,,,,,
311,0.088092306,0,0,0.570086548,0.341821158,0.004492846,,,,,,,
312,0.096208175,0.04913762,0,0.807710342,0.046943924,0.004207616,,,,,,,
313,0.066692368,0.097648146,0,0.592298592,0.243360996,0.004349045,,,,,,,
314,0.002701807,0,0.039664594,0.907194018,0.050439688,0.004423986,,,,,,,
315,0.014425524,0,0,0.739463582,0.246110958,0.004334822,,,,,,,
316,0.091968499,0,0,0.600577535,0.307454357,0.004497205,,,,,,,
317,0.171266516,0.006657244,0,0.470830385,0.351248614,0.004202872,,,,,,,
318,0,0,0,0.710036462,0.289963585,0.004453968,,,,,,,
319,0.034690902,0,0,0.640626858,0.324682246,0.004381588,,,,,,,
320,0.037406239,0,0,0.561697977,0.400898278,0.004524412,,,,,,,
321,0.042715856,0,0,0.939496126,0.01778803,0.004474497,,,,,,,
322,0.053062296,0.0205512,0,0.597293424,0.329093124,0.004322433,,,,,,,
323,0,0,0,0.63015045,0.369849545,0.004503425,,,,,,,
324,0.156695666,0.031521009,0,0.676808398,0.134977647,0.004302658,,,,,,,
325,0,0,0.065886671,0.602052088,0.332061268,0.004338426,,,,,,,
326,0,0,0.080545148,0.666135729,0.253319513,0.00439199,,,,,,,
327,0.111657594,0.022523183,0,0.610630918,0.255188322,0.004513358,,,,,,,
328,0.007574395,0.028866987,0,0.709260446,0.254300886,0.004565432,,,,,,,
329,0.052645989,0,0,0.781126257,0.166230485,0.004475462,,,,,,,
330,0.078226306,0,0,0.757967573,0.163806213,0.004257211,,,,,,,
331,0.122505557,0,0.087834947,0.50029798,0.28936158,0.004319545,,,,,,,
332,0.123808431,0,0,0.876194229,0,0.004456963,,,,,,,
333,0.152613422,0,0,0.74581578,0.101573468,0.004357089,,,,,,,
334,0.132858486,0,0,0.70389285,0.163249536,0.004459236,,,,,,,
335,0,0,0,0.647481207,0.352518834,0.004453552,,,,,,,
336,0.146103076,0,0,0.414729376,0.439167622,0.004275168,,,,,,,
337,0.028574432,0.01057634,0,0.773093335,0.18775598,0.004371843,,,,,,,
338,0.019413023,0,0.007921865,0.685416745,0.287250726,0.004510768,,,,,,,
339,0.137785645,0,0.148408609,0.573840589,0.139965226,0.004246703,,,,,,,
340,0.194464352,0,0.023534825,0.782002023,0,0.004393938,,,,,,,
341,0.101263666,0,0,0.714509191,0.184229889,0.004532813,,,,,,,
342,0.073926301,0,0,0.92607375,0,0.004483577,,,,,,,
343,0.036463323,0,0,0.878618614,0.084920704,0.004474815,,,,,,,
