sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces sp.	0	0	0	0	0	0	0	0	0	0	0	87	1	20	0	0	1	3
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Alanphillipsia;	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;	2	0	0	0	0	0	0	0	0	0	5	0	24	3	0	13	1	27
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;NA;	13	0	0	7	0	94	0	171	312	25	0	0	0	0	2	0	1	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Staninwardia;Staninwardia suttonii	7	0	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;NA;;	16	0	0	0	0	0	0	0	0	31	12	5	2	0	1	0	3	3
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;NA;	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Dothidea;	6	0	0	0	0	15	19	0	4	30	1	1	14	1	0	27	0	25
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Dothidea;Dothidea sp. RWT7	1	0	0	0	0	156	0	0	0	45	17	4	13	5	0	204	0	6
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;NA;	8	1	3	0	0	0	0	0	0	7	186	19	0	36	0	14	0	19
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Dothiora;	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	52	0	7
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema;Hormonema sp. BF13	2	7	79	2	0	0	1	15	18	0	7	0	17	1	0	29	0	10
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;NA;;	0	0	0	5	0	0	0	1	2	0	45	5	69	17	0	20	1	35
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Micropeltidaceae;Stomiopeltis;Stomiopeltis betulae	0	0	0	2	0	0	0	0	0	0	12	0	0	2	0	23	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	109	0	8	3	13	0	2	5	1	153	83	19	27	19	15	234	40	306
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Tyrannosorus;Tyrannosorus pinicola	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Tyrannosorus;Tyrannosorus pinicola	1	22	71	7	13	3	1	16	20	0	69	3	281	7	3	0	0	112
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Delitschiaceae;Delitschia;Delitschia didyma	0	47	13	0	67	1	0	3	23	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Neoascochyta;Neoascochyta exitialis	0	0	14	6	42	7	1	11	3	0	0	0	5	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massariaceae;Massaria;Massaria ulmi	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;;	107	17	6	2	1	0	0	4	0	157	468	59	426	143	184	1925	63	739
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Ophiosphaerella;	0	13	77	2	0	4	0	3	3	2	4	0	7	0	0	1	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Embellisia;Embellisia sp. DAR 74619	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;NA;	0	11	1171	46	83	28	12	203	621	0	2	0	28	0	0	57	9	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae;Teichospora;	1	0	0	0	0	0	0	0	1	2	0	0	4	0	0	23	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae;Teichospora;Teichospora grandicipis	0	82	93	26	18	0	0	7	139	0	0	0	0	11	0	0	0	0
