sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Entomobryidae;NA;Entomobryidae sp. BOLD:ACI6020;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Hypogastruridae;Ceratophysella;Ceratophysella sp. Otsu;	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Isotomidae;Folsomia;Folsomia quadrioculata;	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Isotomidae;NA;;	0	0	0	0	0	0	115	0	0	8	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	18	0	0	162	0	0	0	0	0	0	4	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;Collembola sp. BOLD:ACD9146;	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;Entomobryomorpha sp. BOLD:ACG2322;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;Entomobryomorpha sp. BOLD:ACI9699;	0	0	0	18	0	0	7	0	0	5	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Onychiuridae;Protaphorura;Protaphorura changbaiensis;	0	0	0	35	0	0	42	0	0	6	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Tomoceridae;NA;Tomoceridae sp. DPCOL20752;	0	1	2	13	0	0	6	0	1	5	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Tomoceridae;Tomocerus;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Hypogastruridae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Hypogastruridae;NA;NA;	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;NA;;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;NA;NA;NA;	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Neanuridae;NA;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Onychiuridae;Protaphorura;Protaphorura changbaiensis;	0	0	0	0	0	0	64	0	0	6	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Maxillopoda;Harpacticoida;Canthocamptidae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Cerambycidae;Prionus;Prionus insularis;	0	0	0	0	0	0	0	0	0	0	7	608	0	1	0	0	1	0
