sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
NA;NA;NA;NA;Cornales;Hydrangeaceae;Carpenteria;Carpenteria californica;	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Carpenteria;Carpenteria sp. A YG-2013;	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Carpenteria;Carpenteria sp. B YG-2013;	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Deutzia;Deutzia discolor;	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Deutzia;Deutzia gracilis;	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Philadelphus;;	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Philadelphus;Philadelphus mexicanus;	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Philadelphus;Philadelphus schrenkii;	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Philadelphus;Philadelphus tenuifolius;	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Philadelphus;Philadelphus texensis;	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Dipsacales;Adoxaceae;Sambucus;;	0	0	3	0	1	2	0	1	0	12905	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Ericales;Ericaceae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Eukaryota;Plantae;Streptophyta;NA;Ericales;Polemoniaceae;NA;;	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	878	0	0
Eukaryota;Plantae;Streptophyta;NA;Fabales;Fabaceae;Hosackia;Hosackia stipularis;	0	0	0	0	0	0	0	0	0	0	1	0	0	4821	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Gentianales;Rubiaceae;Galium;Galium aparine;	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Malpighiales;Salicaceae;Salix;;	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Myrtales;Onagraceae;Chamerion;;	0	0	0	0	0	0	0	0	2573	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Abies;Abies veitchii;	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Keteleeria;;	0	0	0	571	0	0	1387	2	2	0	0	0	0	0	39	0	0	127
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Keteleeria;Keteleeria fortunei;	0	0	0	93	0	0	0	12	1	0	0	0	0	0	0	0	0	57
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Keteleeria;Keteleeria pubescens;	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Pinus;;	2	1	0	1	0	6227	0	0	0	0	0	85	0	0	63	9	49	140
Eukaryota;Plantae;Streptophyta;NA;Pinales;Pinaceae;Pseudotsuga;Pseudotsuga sinensis;	0	0	0	0	0	0	281	0	0	4	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Rosales;Rhamnaceae;Ceanothus;Ceanothus thyrsiflorus;	0	0	14	0	0	0	0	0	0	0	2447	1037	174	48	1	1	0	0
Eukaryota;Plantae;Streptophyta;NA;Rosales;Rosaceae;Rubus;;	0	1	0	0	0	1	0	1	5520	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Polytrichopsida;Polytrichales;Polytrichaceae;Dendroligotrichum;Dendroligotrichum dendroides;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
Eukaryota;Plantae;Streptophyta;Polytrichopsida;Polytrichales;Polytrichaceae;Polytrichum;Polytrichum juniperinum;	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	10363	0	0
